Date : 2021-02-03 19:21:52
Directory : /home/shi/fduhole
Total : 68 files,  1956 codes, 0 comments, 383 blanks, all 2339 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| /home/shi/fduhole/pafd/migrations/0002_auto_20210124_1159.py | MagicPython |         13 |          0 |          6 |         19 |
| /home/shi/fduhole/pafd/migrations/__init__.py                | MagicPython |          0 |          0 |          1 |          1 |
| /home/shi/fduhole/pafd/models.py                             | MagicPython |          8 |          0 |          5 |         13 |
| /home/shi/fduhole/pafd/templates/pafd/index.html             | Django HTML |         20 |          0 |          1 |         21 |
| /home/shi/fduhole/pafd/templates/pafd/invalid.html           | Django HTML |         18 |          0 |          1 |         19 |
| /home/shi/fduhole/pafd/templates/pafd/validated.html         | Django HTML |         18 |          0 |          1 |         19 |
| /home/shi/fduhole/pafd/tests.py                              | MagicPython |          2 |          0 |          2 |          4 |
| /home/shi/fduhole/pafd/urls.py                               | MagicPython |         11 |          0 |          2 |         13 |
| /home/shi/fduhole/pafd/views.py                              | MagicPython |         43 |          0 |          5 |         48 |
| /home/shi/fduhole/polls/__init__.py                          | MagicPython |          0 |          0 |          1 |          1 |
| /home/shi/fduhole/polls/admin.py                             | MagicPython |          3 |          0 |          1 |          4 |
| /home/shi/fduhole/polls/apps.py                              | MagicPython |          3 |          0 |          3 |          6 |
| /home/shi/fduhole/polls/migrations/0001_initial.py           | MagicPython |         26 |          0 |          7 |         33 |
| /home/shi/fduhole/polls/migrations/__init__.py               | MagicPython |          0 |          0 |          1 |          1 |
| /home/shi/fduhole/polls/models.py                            | MagicPython |         17 |          0 |          7 |         24 |
| /home/shi/fduhole/polls/templates/polls/detail.html          | Django HTML |         10 |          0 |          2 |         12 |
| /home/shi/fduhole/polls/templates/polls/index.html           | Django HTML |          9 |          0 |          0 |          9 |
| /home/shi/fduhole/polls/templates/polls/results.html         | Django HTML |          7 |          0 |          3 |         10 |
| /home/shi/fduhole/polls/tests.py                             | MagicPython |         29 |          0 |          7 |         36 |
| /home/shi/fduhole/polls/urls.py                              | MagicPython |          9 |          0 |          3 |         12 |
| /home/shi/fduhole/polls/views.py                             | MagicPython |         34 |          0 |         11 |         45 |
| /home/shi/fduhole/test.py                                    | MagicPython |          6 |          0 |          1 |          7 |
| Total                                                        |             |      1,956 |          0 |        383 |      2,339 |
+--------------------------------------------------------------+-------------+------------+------------+------------+------------+
